ItemName,Date,Order
Alfonso Light,6/27/2025,1
Cadbury Hazelnut,6/27/2025,1
Clubhouse,6/27/2025,1
Chickensilog,6/28/2025,1
Hungariansilog,6/28/2025,2
Coke Zero In Can,6/28/2025,1
Egg,6/28/2025,1
Bangsilog,6/28/2025,1
Spamsilog,6/28/2025,1
Cornsilog,6/28/2025,1
LM Hot an Spicy W/egg,6/28/2025,1
Tunasilog,6/28/2025,1
LM Chili Mansi W/Egg,6/28/2025,2
Clubhouse,6/28/2025,1
Clubhouse,6/28/2025,1
LM Chili Mansi W/Egg,6/28/2025,1
Bangsilog,6/28/2025,1
Tosilog,6/28/2025,1
Egg,6/28/2025,3
Egg,6/28/2025,3
Egg,6/28/2025,3
Hungariansilog,6/28/2025,1
Red Horse,6/28/2025,1
Korean Noodles Mild w/ Egg,6/28/2025,1
Egg,6/29/2025,4
LM Chili Mansi W/Egg,6/29/2025,3
Clubhouse,6/29/2025,2
Hungariansilog,6/29/2025,1
Pansit Sisig,6/29/2025,2
Take out Box W/Order,6/29/2025,2
Clubhouse,6/29/2025,2
Clubhouse,6/29/2025,2
LM Chili Mansi W/Egg,6/29/2025,1
Egg,6/29/2025,3
Egg,6/29/2025,4
Red Horse,6/29/2025,1
Cornsilog,6/29/2025,1
Korean Noodles Spicy w/ Egg,6/29/2025,1
Coke Regular In Can,6/29/2025,1
Korean Noodles Spicy w/ Egg,6/29/2025,1
Coke Regular In Can,6/29/2025,1
Tapsilog,6/29/2025,1
LM Hot an Spicy W/egg,6/29/2025,2
Sisigsilog,6/29/2025,1
LM Hot an Spicy W/egg,6/29/2025,1
LM Chili Mansi W/Egg,6/29/2025,1
Korean Noodles Mild w/ Egg,6/29/2025,1
LM Chili Mansi W/Egg,6/29/2025,1
Chessy Canton,6/29/2025,1
Egg,6/29/2025,1
Bangsilog,6/29/2025,1
LM Calamansi w/ Egg,6/29/2025,1
LM Calamansi w/ Egg,6/29/2025,1
Sizzling Sisig,6/29/2025,1
Tapsilog,6/29/2025,1
Rice,6/29/2025,1
Hungariansilog,6/29/2025,1
Sisigsilog,6/29/2025,1
LM Hot an Spicy W/egg,6/29/2025,1
LM Chili Mansi W/Egg,6/29/2025,1
Sizzling Sisig,6/29/2025,1
Toblerone,6/29/2025,1
Sisigsilog,6/29/2025,2
Sisigsilog,6/29/2025,1
Spamsilog,6/29/2025,1
Porksilog,6/29/2025,1
LM Hot an Spicy W/egg,6/29/2025,2
Egg,6/29/2025,2
Cornsilog,6/29/2025,1
LM Chili Mansi W/Egg,6/29/2025,1
Korean Noodles Mild w/ Egg,6/29/2025,2
Bangsilog,6/29/2025,1
Cornsilog,6/29/2025,1
Egg,6/29/2025,1
Lugaw Con Lechon,6/29/2025,1
Lugaw Con Lechon,6/29/2025,1
Pansit Sisig,6/29/2025,1
Pansit Sisig,6/29/2025,1
Chicken Teriyaki,6/29/2025,1
Chicken Teriyaki,6/29/2025,1
LM Hot an Spicy W/egg,6/29/2025,2
Chicken Teriyaki,6/30/2025,1
Coke(Mismo),6/30/2025,1
Hungariansilog,6/30/2025,1
Tapsilog,6/30/2025,1
Coke Regular In Can,6/30/2025,1
Longsilog,6/30/2025,2
LM Hot an Spicy W/egg,6/30/2025,2
Rice,6/30/2025,3
Lugaw Con Lechon,6/30/2025,1
LM Chili Mansi W/Egg,6/30/2025,1
Chicken Teriyaki,6/30/2025,1
Pansit Sisig,6/30/2025,1
Rice,6/30/2025,1
Rice,6/30/2025,4
Coke(Mismo),6/30/2025,1
Hungariansilog,6/30/2025,1
Hungariansilog,6/30/2025,1
Spamsilog,6/30/2025,1
Hungariansilog,6/30/2025,1
Spamsilog,6/30/2025,1
Chicksilog,6/30/2025,1
Egg,6/30/2025,1
Fried rice,6/30/2025,1
Pansit Sisig,6/30/2025,1
Tunasilog,6/30/2025,1
Egg,6/30/2025,1
Bangsilog,6/30/2025,1
Take out Box W/Order,6/30/2025,1
Tapsilog,6/30/2025,1
Pansit Sisig,6/30/2025,1
Take out Box W/Order,6/30/2025,1
LM Calamansi w/ Egg,6/30/2025,1
Egg,6/30/2025,1
Half Plain rice,6/30/2025,1
Cadbury Roast Almond,6/30/2025,2
Cadbury Hazelnut,6/30/2025,1
Porksilog,6/30/2025,1
Hungariansilog,6/30/2025,1
LM Chili Mansi W/Egg,6/30/2025,1
Pampano,6/30/2025,1
Rice,6/30/2025,1
Toblerone,6/30/2025,1
Lugaw Con Lechon,6/30/2025,1
Egg,6/30/2025,1
Porksilog,6/30/2025,1
Fried rice,6/30/2025,1
Pampano,6/30/2025,1
Rice,6/30/2025,1
Porksilog,6/30/2025,1
LM Calamansi w/ Egg,6/30/2025,1
LM Calamansi w/ Egg,6/30/2025,1
LM Hot an Spicy W/egg,6/30/2025,3
LM Calamansi w/ Egg,6/30/2025,2
LM Calamansi w/ Egg,6/30/2025,1
Pansit Sisig,6/30/2025,1
Pampano,6/30/2025,1
Pampano,6/30/2025,1
Coke(Mismo),6/30/2025,1
Bangsilog,6/30/2025,1
Lugaw Con Lechon,6/30/2025,1
Egg,6/30/2025,2
Lugaw Con Lechon,6/30/2025,1
Lugaw Con Lechon,6/30/2025,2
Egg,6/30/2025,2
Sizzling Sisig,6/30/2025,1
Take out Box W/Order,6/30/2025,1
Egg,6/30/2025,2
Clubhouse,7/1/2025,1
Egg,7/1/2025,1
Sisigsilog,7/1/2025,1
Egg,7/1/2025,1
Chicksilog,7/1/2025,1
LM Chili Mansi W/Egg,7/1/2025,2
Pansit Sisig,7/1/2025,2
Sizzling Sisig,7/1/2025,2
Buffalo & Buttered Wings,7/1/2025,1
Bangsilog,7/1/2025,1
Clubhouse,7/1/2025,1
Take out Box W/Order,7/1/2025,1
Pansit Sisig,7/1/2025,1
Fried rice,7/1/2025,1
Sisigsilog,7/1/2025,1
Spamsilog,7/1/2025,1
Pansit Sisig,7/1/2025,1
LM Chili Mansi,7/1/2025,2
LM Calamansi,7/1/2025,2
Tapsilog,7/1/2025,1
Longsilog,7/1/2025,1
Tosilog,7/1/2025,1
Hungariansilog,7/1/2025,1
Take out Box W/Order,7/1/2025,1
Longsilog,7/1/2025,1
Longsilog,7/1/2025,1
Clubhouse,7/1/2025,1
Pansit Sisig,7/1/2025,1
Cornsilog,7/1/2025,1
Pansit Sisig,7/1/2025,1
Rice,7/1/2025,1
Chessy Canton,7/1/2025,1
Egg,7/1/2025,1
Pansit Sisig,7/1/2025,1
Clubhouse,7/1/2025,2
Tapsilog,7/1/2025,1
Tosilog,7/1/2025,1
Ham and Cheese Sandwich,7/1/2025,2
Lugaw Con Lechon,7/2/2025,1
Egg,7/2/2025,1
Lugaw Con Lechon,7/2/2025,1
Egg,7/2/2025,1
Lugaw Con Lechon,7/2/2025,1
Egg,7/2/2025,1
Lugaw Con Lechon,7/2/2025,1
Pansit Sisig,7/2/2025,1
Take out Box W/Order,7/2/2025,1
Lugaw Con Lechon,7/2/2025,1
Spamsilog,7/2/2025,1
Egg,7/2/2025,1
Egg,7/2/2025,2
Rice,7/2/2025,2
Rice,7/2/2025,1
Lugaw Con Lechon,7/2/2025,2
Egg,7/2/2025,4
LM Chili Mansi W/Egg,7/2/2025,2
Lugaw Con Lechon,7/2/2025,1
Egg,7/2/2025,2
Chicksilog,7/2/2025,1
Clubhouse,7/2/2025,3
Take out Box W/Order,7/2/2025,2
Sisigsilog,7/2/2025,1
Lugaw Con Lechon,7/2/2025,1
Egg,7/2/2025,4
Lugaw Con Lechon,7/2/2025,1
Clubhouse,7/2/2025,1
Toblerone,7/2/2025,1
Clubhouse,7/2/2025,1
Peanuts,7/2/2025,4
Pansit Sisig,7/2/2025,1
Porksilog,7/2/2025,1
Hungariansilog,7/2/2025,1
Hungariansilog,7/2/2025,1
Half fried rice,7/2/2025,1
Bucheron,7/2/2025,1
Black Label 1L,7/2/2025,1
